Time,FrontalAxis,VerticalAxis,LateralAxis,Gender,SensorId,signal,Phase,Frequence,Activity
46.575,0.92865,-0.18603,-0.15052000000000001,1,4,-66.0,1.3514,921.75,3
47.575,1.0342,-0.23196,-0.11631,1,4,-67.0,5.4809,923.75,3
48.0,0.9052,-0.19751,-0.17332999999999998,1,4,-66.5,0.23163000000000003,922.75,3
48.5,1.1514,-0.30086,-0.047893,1,3,-50.5,6.0669,920.75,3
48.75,0.9052,-0.17454,-0.17332999999999998,1,3,-52.5,0.75012,924.25,3
49.1,1.3039,-0.33531,-0.0022806,1,4,-65.5,1.3039,921.75,3
50.0,0.9403799999999999,-0.18603,-0.16192,1,4,-66.5,5.3321,923.75,3
50.825,0.92865,-0.19751,-0.15052000000000001,1,4,-66.0,5.4272,920.75,3
52.0,1.1866,-0.30086,-0.036489999999999995,1,4,-68.0,4.3918,924.75,3
52.85,0.9403799999999999,-0.17454,-0.15052000000000001,1,3,-50.5,5.6987,921.25,3
53.825,1.0342,-0.20899,-0.11631,1,4,-65.5,1.2947,921.75,3
54.5,0.88175,-0.17454,-0.16192,1,3,-50.5,5.01,922.25,3
55.25,1.1983,-0.28938,-0.036489999999999995,1,3,-50.0,5.7202,921.25,3
55.5,0.9990100000000001,-0.17454,-0.13912,1,4,-65.5,1.7794,921.25,3
56.0,1.1045,-0.24344000000000002,-0.070699,1,4,-67.5,4.8428,924.25,3
56.5,0.9521,-0.17454,-0.15052000000000001,1,4,-65.5,1.2824,921.75,3
57.5,1.1632,-0.27789,-0.059296,1,3,-50.5,4.7063,922.75,3
58.5,1.0811,-0.23196,-0.10490999999999999,1,4,-67.5,4.7968,924.25,3
58.825,0.96383,-0.17454,-0.16192,1,4,-65.5,4.3964,921.75,3
60.25,0.88175,-0.17454,-0.16192,1,3,-50.0,5.6788,921.25,3
60.5,1.0459,-0.20899,-0.11631,1,4,-69.0,3.8748,925.25,3
61.75,1.1983,-0.28938,-0.047893,1,4,-65.5,0.7992,922.25,3
62.25,0.9403799999999999,-0.17454,-0.15052000000000001,1,3,-50.5,4.7461,922.75,3
62.75,0.8934799999999999,-0.18603,-0.16192,1,4,-69.5,3.8856,925.25,3
63.0,0.8583,-0.18603,-0.16192,1,4,-65.5,5.4963,920.75,3
63.75,0.9052,-0.16305999999999998,-0.16192,1,3,-50.0,5.3597,921.75,3
64.25,0.96383,-0.16305999999999998,-0.15052000000000001,1,3,-50.5,5.0207,922.25,3
65.0,0.92865,-0.17454,-0.16192,1,3,-50.5,4.7308,922.75,3
65.5,1.2101,-0.28938,-0.036489999999999995,1,3,-50.0,6.0408,920.75,3
65.75,0.8934799999999999,-0.17454,-0.17332999999999998,1,4,-66.0,6.0316,920.25,3
66.75,0.9052,-0.17454,-0.16192,1,3,-50.5,5.01,922.25,3
67.75,0.9169299999999999,-0.18603,-0.17332999999999998,1,3,-50.5,6.0485,920.75,3
68.0,0.8934799999999999,-0.17454,-0.16192,1,4,-65.5,5.5162,920.75,3
68.525,0.9169299999999999,-0.17454,-0.15052000000000001,1,3,-50.0,0.12732000000000002,920.25,3
68.65,0.88175,-0.17454,-0.16192,1,4,-65.0,1.3622,921.75,3
69.25,1.0107,-0.19751,-0.11631,1,4,-65.5,0.80994,922.25,3
70.1,0.9169299999999999,-0.17454,-0.17332999999999998,1,4,-70.0,3.8902,925.25,3
71.775,0.88175,-0.15158,-0.16192,1,4,-66.0,6.0454,920.25,3
71.85,1.128,-0.24344000000000002,-0.070699,1,3,-51.0,4.4424,923.25,3
72.6,0.9052,-0.17454,-0.16192,1,4,-65.5,1.8684,921.25,3
74.0,0.88175,-0.17454,-0.16192,1,3,-49.0,5.9089,922.25,3
74.25,0.9403799999999999,0.1355,-0.32156999999999997,1,3,-57.0,6.251,925.75,3
78.0,0.7176,0.89339,0.043332,1,1,-61.5,4.3228,920.25,1
79.0,0.42446000000000006,0.96229,-0.082102,1,1,-61.5,2.3378,922.25,1
81.5,0.23685,1.0082,-0.12771,1,1,-66.5,5.2447,925.75,1
83.25,0.29548,0.99674,-0.082102,1,1,-62.5,1.3744,923.25,1
85.25,0.33066,0.99674,-0.070699,1,4,-57.0,5.8997,920.25,1
87.0,0.5534399999999999,0.89339,0.0091224,1,4,-56.0,4.8811,921.25,1
88.75,0.37756,0.97377,-0.059296,1,4,-58.5,0.46173000000000003,925.75,1
90.75,0.31893,0.97377,-0.082102,1,1,-65.0,6.1175,924.75,1
92.5,0.30721,0.99674,-0.070699,1,4,-57.5,1.7518,924.25,1
95.25,0.33066,0.98526,-0.082102,1,4,-56.5,1.1183,921.75,1
97.25,0.28376,1.0082,-0.11631,1,4,-57.0,4.8934,924.25,1
100.0,0.54171,0.9048700000000001,0.0091224,1,1,-63.0,4.0697,920.25,1
102.5,0.29548,0.99674,-0.10490999999999999,1,4,-56.5,5.7187,920.25,1
104.0,0.41273000000000004,0.93932,-0.025087,1,1,-60.5,1.2026,922.75,1
106.75,0.22513000000000002,0.89339,-0.17332999999999998,1,1,-48.5,2.1046,920.75,4
107.25,0.60034,1.0082,-0.047893,1,1,-50.5,5.9411,920.25,4
111.5,0.2603,0.99674,-0.059296,1,2,-58.5,0.9940200000000001,925.25,4
116.5,0.83485,0.6752100000000001,-0.13912,1,2,-55.5,6.2709,920.75,2
120.5,0.88175,0.64076,-0.09350499999999999,1,2,-57.5,0.7041,925.75,2
127.0,0.8465799999999999,0.66373,-0.12771,1,2,-56.0,5.6481,921.75,2
128.5,1.0928,0.5489,-0.013684,1,2,-57.5,0.73631,925.25,2
130.25,0.83485,0.66373,-0.12771,1,2,-58.0,0.6089899999999999,925.75,2
131.25,1.0928,0.56038,-0.013684,1,2,-56.0,6.0562,920.75,2
133.0,0.78795,0.6752100000000001,-0.15052000000000001,1,2,-55.5,4.9977,922.75,2
137.25,0.8583,0.66373,-0.10490999999999999,1,2,-57.0,1.0017,924.75,2
139.0,0.8934799999999999,0.6292800000000001,-0.09350499999999999,1,2,-55.5,0.03835,920.25,2
143.5,0.88175,0.64076,-0.09350499999999999,1,2,-57.0,1.172,924.25,2
145.0,0.8583,0.6292800000000001,-0.10490999999999999,1,2,-58.0,0.48627,925.75,2
146.75,0.9052,0.6292800000000001,-0.09350499999999999,1,2,-57.5,0.90505,924.75,2
148.5,0.96383,0.60631,-0.047893,1,2,-56.5,1.1275,924.25,2
151.0,0.88175,0.64076,-0.082102,1,2,-56.5,0.03835,920.25,2
153.5,1.1163,0.5489,-0.013684,1,2,-56.5,0.0061359,920.25,2
156.0,0.8465799999999999,0.6522399999999999,-0.10490999999999999,1,2,-56.5,0.021476,920.25,2
158.75,0.88175,0.64076,-0.070699,1,2,-55.5,5.4809,921.75,2
164.5,0.87003,0.6522399999999999,-0.10490999999999999,1,2,-56.0,5.0054,922.75,2
166.5,0.8934799999999999,0.6292800000000001,-0.09350499999999999,1,2,-56.0,5.1895,922.25,2
178.75,0.88175,0.6292800000000001,-0.10490999999999999,1,2,-57.0,0.15033,925.75,2
184.5,0.8231200000000001,0.6866899999999999,-0.13912,1,2,-56.5,0.33748,925.25,2
186.0,0.87003,0.64076,-0.11631,1,2,-54.0,4.9256,922.25,2
193.0,0.8465799999999999,0.66373,-0.13912,1,2,-56.5,0.474,924.75,2
194.5,0.77622,0.66373,0.020525,1,2,-55.0,5.6159,924.25,4
198.25,0.096148,0.93932,-0.16192,1,1,-66.5,0.51695,922.25,4
200.33,-0.51357,0.98526,-0.25315,1,3,-58.0,1.6045,924.75,1
200.75,0.92865,0.26182,-0.13912,1,3,-52.0,5.5776,925.75,3
201.0,1.2335,-0.15158,-0.12771,1,1,-61.5,5.8537,923.75,3
201.53,1.0928,-0.25493000000000005,-0.036489999999999995,1,1,-58.5,4.5605,921.25,3
202.25,1.2101,-0.31234,0.077541,1,1,-60.5,5.507000000000001,920.25,3
203.25,1.2687,-0.32383,0.043332,1,1,-67.0,0.3252,925.75,3
204.25,1.0928,-0.28938,-0.059296,1,1,-60.5,4.9962,920.75,3
205.25,1.2687,-0.36976,0.0091224,1,1,-64.5,4.3442,924.75,3
206.25,1.2921,-0.38124,0.020525,1,1,-60.5,4.5268,921.25,3
208.0,1.0694,-0.26641,-0.082102,1,1,-61.0,0.38503000000000004,922.25,3
209.0,1.0928,-0.26641,-0.082102,1,1,-66.0,0.7639199999999999,925.25,3
210.0,1.128,-0.28938,-0.059296,1,1,-62.0,2.5679,923.25,3
211.85,0.9169299999999999,-0.18603,-0.12771,1,3,-49.0,6.0654,924.25,3
212.25,0.9521,-0.18603,-0.12771,1,3,-48.5,1.4174,921.75,3
212.35,1.2687,-0.33531,0.020525,1,3,-48.5,0.18868,923.25,3
212.75,1.0107,-0.23196,-0.10490999999999999,1,1,-68.5,1.7303,924.75,3
213.08,0.88175,-0.18603,-0.13912,1,3,-50.0,4.9103,925.75,3
213.25,0.9169299999999999,-0.19751,-0.12771,1,3,-49.5,6.2234,923.75,3
213.83,0.9990100000000001,-0.22048,-0.11631,1,3,-51.0,5.6205,925.25,3
214.25,1.1397,-0.28938,-0.013684,1,3,-50.0,6.2586,924.25,3
215.25,0.9169299999999999,-0.18603,-0.13912,1,1,-65.5,0.38195999999999997,922.25,3
215.75,1.1632,-0.30086,-0.036489999999999995,1,3,-48.5,6.2663,923.75,3
217.25,0.9169299999999999,-0.19751,-0.12771,1,3,-48.5,6.274,923.25,3
217.5,1.1514,-0.27789,-0.025087,1,3,-48.5,5.1496,924.75,3
217.75,1.0107,-0.19751,-0.09350499999999999,1,3,-49.5,4.4976,925.75,3
218.0,0.88175,-0.18603,-0.13912,1,3,-48.5,5.8552,923.75,3
218.75,0.96383,-0.19751,-0.11631,1,3,-49.0,4.7891,925.25,3
220.0,0.9052,-0.19751,-0.12771,1,3,-49.0,5.1542,924.75,3
220.25,1.0225,-0.20899,-0.10490999999999999,1,3,-49.5,4.5237,925.75,3
221.0,1.0342,-0.19751,-0.09350499999999999,1,3,-49.5,4.9256,925.25,3
222.75,0.92865,-0.18603,-0.10490999999999999,1,3,-50.0,4.5437,925.75,3
224.25,1.1163,-0.26641,-0.036489999999999995,1,3,-49.5,1.1643,921.75,3
224.5,0.9403799999999999,-0.19751,-0.11631,1,3,-49.0,6.277,923.25,3
225.0,0.9169299999999999,-0.18603,-0.11631,1,3,-49.5,4.5789,925.75,3
225.25,0.92865,-0.19751,-0.11631,1,3,-49.0,5.912000000000001,923.75,3
225.5,1.1045,-0.27789,-0.047893,1,3,-49.0,0.43565,922.75,3
225.75,1.0694,-0.23196,-0.082102,1,3,-50.0,1.5018,921.25,3
226.5,0.9169299999999999,-0.19751,-0.12771,1,3,-49.5,5.5361,924.25,3
227.85,1.0459,-0.24344000000000002,-0.082102,1,3,-50.0,4.5667,925.75,3
228.58,1.1163,-0.26641,-0.025087,1,3,-49.5,4.9824,925.25,3
229.0,0.96383,-0.19751,-0.11631,1,3,-52.0,5.3827,920.25,3
230.0,1.1045,-0.26641,-0.036489999999999995,1,3,-50.0,4.582,925.75,3
230.5,0.92865,-0.19751,-0.11631,1,3,-49.5,0.44792,922.75,3
231.25,0.9169299999999999,-0.19751,-0.11631,1,3,-49.5,5.5668,924.25,3
231.75,0.9403799999999999,-0.19751,-0.10490999999999999,1,3,-50.0,1.1934,921.75,3
232.0,0.9052,-0.18603,-0.12771,1,3,-49.5,5.2002,924.75,3
232.5,0.92865,-0.18603,-0.10490999999999999,1,3,-50.0,4.6035,925.75,3
234.25,1.2804,-0.35827,0.031928,1,3,-49.5,1.2026,921.75,3
234.5,0.92865,-0.20899,-0.10490999999999999,1,3,-49.0,5.2186,924.75,3
234.75,1.128,-0.27789,-0.036489999999999995,1,3,-49.0,0.8636299999999999,922.25,3
235.0,1.0694,-0.24344000000000002,-0.047893,1,3,-49.0,5.9488,923.75,3
235.25,0.9169299999999999,-0.18603,-0.11631,1,3,-49.0,0.47247,922.75,3
235.75,0.9521,-0.19751,-0.10490999999999999,1,3,-49.0,4.9057,925.25,3
235.85,0.88175,-0.19751,-0.12771,1,3,-49.0,4.8857,925.25,3
236.25,0.9521,-0.19751,-0.11631,1,3,-51.5,5.3321,920.25,3
236.5,0.92865,-0.19751,-0.10490999999999999,1,3,-49.5,1.2057,921.75,3
237.08,1.1045,-0.26641,-0.025087,1,3,-49.5,0.8268200000000001,922.25,3
237.6,0.9052,-0.19751,-0.12771,1,3,-49.0,5.9242,923.75,3
237.63,0.88175,-0.19751,-0.12771,1,3,-49.0,5.9426,923.75,3
238.0,0.9403799999999999,-0.20899,-0.11631,1,3,-50.0,1.5493,921.25,3
238.75,1.2101,-0.32383,0.0091224,1,3,-49.0,5.5469,924.25,3
239.75,1.0342,-0.22048,-0.082102,1,3,-49.5,4.5467,925.75,3
240.5,0.88175,-0.19751,-0.12771,1,3,-49.0,4.8627,925.25,3
241.25,0.8934799999999999,-0.19751,-0.12771,1,3,-51.0,2.1767,920.25,3
241.5,1.1866,-0.31234,-0.0022806,1,3,-49.0,0.053689,923.25,3
241.75,0.92865,-0.19751,-0.11631,1,3,-49.0,5.1803,924.75,3
242.0,0.9169299999999999,-0.19751,-0.11631,1,3,-49.0,0.80994,922.25,3
243.0,0.97555,-0.19751,-0.11631,1,3,-49.5,4.8504,925.25,3
243.5,0.9872799999999999,-0.20899,-0.10490999999999999,1,3,-49.0,5.5361,924.25,3
244.0,1.1514,-0.30086,-0.013684,1,3,-49.0,0.0061359,923.25,3
244.25,0.92865,-0.18603,-0.10490999999999999,1,3,-49.5,6.2663,923.25,3
244.35,1.0107,-0.20899,-0.082102,1,3,-49.5,0.76852,922.25,3
244.58,1.1163,-0.28938,-0.036489999999999995,1,3,-50.0,4.4746,925.75,3
244.75,0.9052,-0.19751,-0.11631,1,3,-50.0,4.49,925.75,3
245.0,0.9521,-0.19751,-0.10490999999999999,1,3,-49.0,5.8782,923.75,3
245.08,0.9403799999999999,-0.19751,-0.11631,1,3,-49.0,0.38503000000000004,922.75,3
245.33,0.9169299999999999,-0.19751,-0.11631,1,3,-50.0,1.4788,921.25,3
246.0,1.1163,-0.24344000000000002,-0.036489999999999995,1,3,-51.5,5.2155,920.25,3
246.75,0.9403799999999999,-0.20899,-0.12771,1,3,-49.0,5.0821,924.75,3
247.0,1.1397,-0.27789,-0.025087,1,3,-50.0,4.4516,925.75,3
247.25,1.1045,-0.26641,-0.036489999999999995,1,3,-49.0,5.8399,923.75,3
247.75,0.8934799999999999,-0.19751,-0.12771,1,3,-50.0,1.5539,921.25,3
247.85,0.9052,-0.19751,-0.12771,1,3,-49.5,4.898,925.25,3
248.0,1.2218,-0.32383,0.020525,1,1,-65.0,5.2125,920.75,3
251.5,0.87003,0.46851000000000004,0.0091224,1,1,-59.0,0.25156999999999996,924.75,1
254.0,-0.0093803,0.95081,-0.11631,1,1,-56.5,5.1388,923.25,1
1.5,-0.044557,0.93932,0.11175,1,4,-57.5,5.1082,925.75,4
3.0,0.61207,0.89339,0.0091224,1,1,-65.0,3.6386,920.25,1
4.0,0.69414,0.8359700000000001,0.054735,1,4,-57.5,5.6328,925.75,1
5.0,0.54171,0.9048700000000001,0.0091224,1,1,-67.5,0.084369,920.75,1
6.0,0.58862,0.8704200000000001,-0.036489999999999995,1,1,-66.5,1.8116,922.25,1
8.25,0.43618999999999997,0.96229,-0.070699,1,4,-57.5,0.44178999999999996,924.75,1
10.25,0.5534399999999999,0.89339,-0.025087,1,4,-56.5,0.15033,921.75,1
12.75,0.54171,0.9048700000000001,-0.013684,1,1,-68.0,3.4852,920.25,1
14.0,0.48308999999999996,0.93932,-0.036489999999999995,1,1,-68.0,1.1382,922.75,1
15.75,0.44791000000000003,0.96229,-0.070699,1,1,-67.5,1.7211,922.25,1
17.5,0.7645,0.81301,0.066138,1,1,-67.0,1.9343,921.75,1
21.25,0.54171,0.8819100000000001,-0.025087,1,1,-67.5,0.9434,922.75,1
23.5,0.58862,0.8704200000000001,0.0091224,1,1,-67.5,0.092039,923.75,1
26.25,0.54171,0.9048700000000001,-0.013684,1,1,-66.5,2.3593,921.25,1
29.25,0.67069,0.84746,0.031928,1,1,-67.5,5.9641,920.75,1
31.75,0.5534399999999999,0.9048700000000001,-0.0022806,1,1,-61.0,0.47553,924.25,1
38.75,1.0811,0.078086,0.24859,1,3,-58.5,6.0055,925.25,3
42.75,1.1163,-0.27789,-0.12771,1,3,-58.5,5.5193,925.75,3
44.5,1.0811,-0.26641,-0.16192,1,3,-56.0,1.9006,921.75,3
46.75,1.1866,-0.32383,-0.12771,1,3,-58.0,6.0838,920.25,3
49.5,1.1163,-0.28938,-0.15052000000000001,1,3,-58.0,6.0822,924.75,3
52.5,1.2101,-0.32383,-0.11631,1,3,-58.5,5.5361,925.75,3
56.25,1.0928,-0.26641,-0.15052000000000001,1,3,-57.5,0.19175,924.25,3
59.5,1.1045,-0.27789,-0.15052000000000001,1,3,-58.0,6.1313,924.75,3
62.25,1.0811,-0.25493000000000005,-0.16192,1,3,-58.5,5.5085,925.75,3
66.0,0.97555,-0.18603,-0.21894,1,3,-57.5,0.13959000000000002,924.25,3
69.0,1.0811,-0.25493000000000005,-0.15052000000000001,1,3,-57.0,0.83449,923.25,3
72.0,1.1163,-0.27789,-0.15052000000000001,1,3,-56.5,4.6556,922.25,3
74.5,1.0811,-0.25493000000000005,-0.17332999999999998,1,3,-58.0,5.3674,925.75,3
78.0,1.0459,-0.23196,-0.18473,1,3,-57.0,0.0061359,924.25,3
80.0,1.1163,-0.28938,-0.15052000000000001,1,3,-58.0,5.6282,925.25,3
83.25,1.1045,-0.26641,-0.15052000000000001,1,3,-57.0,4.944,921.75,3
95.5,0.58862,0.84746,0.08894400000000001,1,3,-69.0,2.4559,921.75,1
107.25,0.56517,0.8704200000000001,0.054735,1,4,-61.0,0.7761899999999999,924.25,1
116.25,0.61207,0.8704200000000001,0.08894400000000001,1,1,-62.0,5.8874,922.75,1
123.5,0.7527699999999999,0.8359700000000001,0.13455999999999999,1,1,-62.5,5.8261,922.75,1
134.0,0.6472399999999999,0.8704200000000001,0.10035,1,1,-60.5,4.4624,920.75,1
146.5,0.56517,0.89339,0.066138,1,1,-60.0,0.64427,921.75,1
148.0,0.037521,0.82449,-0.025087,1,4,-61.5,0.7792600000000001,922.75,4
149.0,0.49481,0.81301,-0.025087,1,1,-59.0,1.8822,920.25,4
165.5,0.48308999999999996,0.9163600000000001,-0.025087,1,2,-57.0,5.1419,925.25,2
166.75,0.37756,0.98526,-0.09350499999999999,1,2,-58.0,4.8765,925.75,2
174.25,0.62379,0.8704200000000001,0.020525,1,2,-57.5,1.5493,925.75,2
182.75,0.33066,1.0197,-0.070699,1,2,-56.5,5.4426,924.25,2
184.25,0.43618999999999997,0.96229,-0.013684,1,2,-57.0,5.9181,923.75,2
185.5,0.56517,0.89339,0.054735,1,2,-54.0,0.70103,921.75,2
191.25,0.42446000000000006,0.95081,-0.0022806,1,2,-57.0,5.167999999999999,925.75,2
193.5,0.45963999999999994,0.95081,-0.013684,1,2,-56.5,5.5085,924.75,2
198.75,0.50654,0.92784,0.020525,1,2,-57.0,5.1296,925.75,2
202.25,0.62379,0.8704200000000001,0.077541,1,2,-56.0,5.7187,924.25,2
209.75,0.31893,0.99674,-0.070699,1,2,-56.0,5.7279,924.25,2
212.0,0.58862,0.8819100000000001,0.066138,1,2,-56.5,5.6987,924.25,2
213.25,0.47136000000000006,0.95081,-0.013684,1,2,-57.0,5.1496,925.75,2
216.5,0.6472399999999999,0.8589399999999999,0.077541,1,2,-57.0,5.4502,925.25,2
218.0,0.38928,0.98526,-0.025087,1,2,-58.0,5.2109,925.75,2
220.5,0.41273000000000004,0.96229,-0.025087,1,2,-58.0,1.9313,925.75,2
224.25,0.42446000000000006,0.95081,-0.013684,1,2,-57.0,5.6512,924.25,2
225.25,0.67069,0.84746,0.10035,1,2,-58.0,5.1189,925.75,2
228.5,0.49481,0.92784,0.031928,1,2,-57.5,5.2677,925.25,2
230.25,0.68242,0.8704200000000001,0.08894400000000001,1,2,-56.5,0.16107,922.25,2
231.25,0.40101,0.98526,-0.025087,1,2,-55.5,1.0983,920.75,2
234.0,0.42446000000000006,0.95081,-0.0022806,1,2,-57.0,5.6481,924.25,2
236.0,0.41273000000000004,0.96229,-0.013684,1,2,-57.5,4.9977,925.25,2
238.5,0.50654,0.93932,0.020525,1,2,-57.5,1.3913,925.25,2
240.65,-0.091458,0.98526,-0.10490999999999999,1,2,-47.5,4.6449,921.25,4
240.75,-0.0093803,0.97377,-0.11631,1,2,-46.0,5.1618,921.25,4
240.88,0.014071,0.93932,-0.13912,1,2,-51.0,3.9884,925.25,4
241.0,0.17823,1.0197,-0.13912,1,2,-50.0,5.9779,920.75,4
241.5,0.15478,1.0886,-0.20754,1,2,-49.5,0.092039,920.25,4
242.0,0.23685,1.0771,-0.15052000000000001,1,2,-50.0,0.59058,923.25,4
242.25,0.41273000000000004,0.9048700000000001,0.020525,1,2,-48.0,1.9098,922.25,4
242.35,0.28376,0.99674,-0.070699,1,2,-48.0,1.8561,922.25,4
242.88,0.36583000000000004,0.99674,-0.047893,1,2,-47.5,0.98175,922.75,4
243.08,0.24858000000000002,0.97377,-0.11631,1,2,-48.0,0.92806,922.75,4
243.25,0.22513000000000002,1.0082,-0.11631,1,2,-47.0,1.781,921.25,4
243.5,0.24858000000000002,1.0082,-0.10490999999999999,1,2,-47.5,2.4191,920.75,4
243.58,0.2134,1.0197,-0.10490999999999999,1,2,-48.0,2.5449,920.75,4
243.63,0.36583000000000004,0.98526,-0.025087,1,2,-49.0,1.0968,924.25,4
243.75,0.2603,0.99674,-0.082102,1,2,-48.0,6.2157,920.25,4
244.1,0.24858000000000002,0.99674,-0.10490999999999999,1,2,-47.0,2.3040000000000003,921.75,4
244.13,0.22513000000000002,1.0082,-0.082102,1,2,-47.5,2.2979,921.75,4
244.25,0.33066,1.0082,-0.070699,1,2,-48.0,1.6766,923.25,4
244.58,0.49481,0.9048700000000001,-0.025087,1,2,-49.0,1.7595,924.75,4
244.6,0.2134,1.0197,-0.17332999999999998,1,2,-48.5,2.2028,924.75,4
244.85,0.20168,1.0197,-0.070699,1,2,-45.0,4.8228,922.25,4
245.25,0.28376,1.0542,-0.0022806,1,1,-68.0,3.4315,923.75,4
245.5,0.1196,1.2264,-0.047893,1,2,-47.5,3.6708,922.75,4
245.75,0.025796,0.97377,-0.16192,1,2,-58.5,0.29913,920.75,4
248.75,-0.38459,1.0082,-0.29875999999999997,1,1,-59.0,5.3137,924.25,4
250.0,0.6472399999999999,0.82449,0.25999,1,4,-62.0,5.9779,923.75,1
251.1,1.1632,-0.36976,0.11175,1,3,-49.0,5.3551,924.25,3
251.25,0.9521,-0.12861,-0.17332999999999998,1,3,-51.5,0.8820399999999999,921.75,3
252.5,1.0694,-0.28938,-0.21894,1,1,-67.0,5.7279,923.75,3
254.0,0.9169299999999999,-0.20899,-0.24174,1,1,-67.5,2.0693,921.75,3
256.75,1.1866,-0.33531,-0.15052000000000001,1,1,-67.5,4.9041,922.25,3
257.5,0.88175,-0.19751,-0.26455,1,3,-51.5,5.6834,922.75,3
261.25,0.9403799999999999,-0.20899,-0.24174,1,1,-68.0,0.82221,923.25,3
262.25,0.9169299999999999,-0.19751,-0.27595,1,1,-67.5,4.5989,922.75,3
263.75,0.92865,-0.19751,-0.26455,1,1,-67.5,0.87284,923.25,3
264.5,0.96383,-0.18603,-0.25315,1,1,-68.0,3.4729,923.75,3
265.0,0.92865,-0.19751,-0.26455,1,1,-67.5,6.0377,921.25,3
266.5,0.8934799999999999,-0.19751,-0.26455,1,1,-67.0,1.9436,922.25,3
267.25,1.2218,-0.33531,-0.13912,1,1,-67.0,1.4358,922.75,3
268.5,0.9403799999999999,-0.20899,-0.26455,1,1,-67.5,5.5653,921.75,3
269.0,0.96383,-0.19751,-0.25315,1,1,-67.0,5.1281,922.25,3
270.0,0.92865,-0.18603,-0.26455,1,1,-68.0,2.9544,921.25,3
